Iteration,Rw
1,0.1878544541757499
2,0.18784758722812558
3,0.18784753765377774
4,0.1878475337427119
5,0.1878475322557818
6,0.1878475305507825
7,0.1878473170889047
8,0.1878472785796307
9,0.18784710693266007
10,0.18784624886315315
11,0.18783704695998726
12,0.1878327734725298
13,0.18783214584144203
14,0.18783025341363357
15,0.1878298887681382
16,0.18782980973141455
17,0.1878298062167391
18,0.18782766223682226
19,0.18782733416438002
20,0.18782696208810576
21,0.18782686068348575
22,0.18782683552563087
23,0.18782677191579036
24,0.18782656284926627
25,0.18782641549950235
26,0.18782627567064739
27,0.18782626554292195
28,0.18782626137285288
29,0.18782398740479367
30,0.18782352828988205
31,0.18782219285651605
