Iteration,Rw
1,0.1506466446353449
2,0.15059661226969534
3,0.15056799444236638
4,0.15056424980768077
5,0.15056419738019458
6,0.15056418685265913
7,0.1505641868261635
8,0.14587830309056257
9,0.14585179557169325
10,0.14585060230946614
11,0.1458505088840667
12,0.14585049300140576
13,0.14585049290641952
14,0.14585049292158914
15,0.14584520817816368
16,0.14584464871180564
17,0.1458389469067329
18,0.14583206699951623
19,0.1457785507140936
20,0.1456431498891999
21,0.1451614721756354
22,0.14493016056072117
23,0.14470589232495606
24,0.1446283034407528
25,0.1446164440230027
26,0.14457812762120004
27,0.14455558195203042
28,0.14455025577395625
29,0.14454989320115214
30,0.144549869076771
31,0.14454986799952207
32,0.14379409006108218
33,0.14314061658831292
34,0.1431306858419387
35,0.1431185104928167
36,0.1430971830239959
37,0.1430505152959611
38,0.14300237463683843
39,0.14291199219339507
40,0.14283835154844737
41,0.14275052146424044
42,0.14258592903891146
43,0.1422077910741514
44,0.14181537259224816
45,0.14175239488380692
46,0.14161072567305263
47,0.14159021224024168
48,0.1415892572602824
49,0.14158896298173465
50,0.14158810092901
51,0.14158639911805396
52,0.14158049245037524
53,0.14156992463261325
54,0.1415578329406686
55,0.14155237927490266
56,0.14155234486873866
57,0.14155167087476875
58,0.14155166445669293
59,0.14154718381016268
60,0.14154458305765263
61,0.14154451346337193
62,0.14154451275410496
63,0.14154451292924677
