Iteration,Rw
1,0.13047521325326286
2,0.13047505365251622
3,0.1304642566167552
4,0.13046425227563507
5,0.13046425219507715
6,0.1304642511231241
7,0.13042942295766888
8,0.13042297255790258
9,0.1304203492815262
10,0.13041942664419084
11,0.13041637959255953
12,0.13041274121264174
13,0.130411767957934
14,0.13041068266088082
15,0.13040996668042387
16,0.1304097471921167
17,0.1304085282562376
18,0.13040705229613705
19,0.13040640353709512
20,0.1304055137840299
21,0.1304052949591583
22,0.1304052850097209
23,0.13040528486411884
24,0.1304049532780369
25,0.1304047707603535
