Iteration,Rw
1,0.8627939210676936
2,0.8627352025522497
3,0.8627350388921817
4,0.6629577992419392
5,0.2806841708715896
6,0.26223373562176566
7,0.2616511331348609
8,0.26164957710857706
9,0.2616495770150052
10,0.2615555196653805
11,0.2606657904105276
12,0.2549114609691733
13,0.2515680352464071
14,0.25028186601710795
15,0.24914105993438543
16,0.248708621724835
17,0.24848803195790087
18,0.24841598892658692
19,0.24839940764997212
20,0.2483977652105323
21,0.24839776299110533
22,0.2351237068878451
23,0.23481218278843893
24,0.23400164737968704
25,0.23400030078069187
26,0.23378121899088747
27,0.23376848626456562
28,0.23376772805270127
29,0.23376760819558423
30,0.23376760678837358
31,0.21486501605102692
32,0.2060632674694635
33,0.20192437696865048
34,0.19630915479543565
35,0.18460472928068952
36,0.1807185913314633
37,0.17842492341226934
38,0.16206252019004022
39,0.15054226115079408
40,0.14523781402891514
41,0.14330143950182878
42,0.14238410145114958
43,0.14231708099142587
44,0.14215657673649607
45,0.14215184635274486
46,0.14215146498569062
47,0.14215123764032647
48,0.14215056010156024
49,0.14214802711907107
50,0.1421422288223153
51,0.14213696930598715
52,0.14213479232676088
53,0.142126454808257
54,0.14212510060563405
55,0.142125007117499
56,0.14212475402336566
57,0.14212472288802488
58,0.14212464513238163
59,0.14212456910657817
60,0.1421245268211854
61,0.14212451615662852
62,0.14212450336307528
63,0.1421244998939208
64,0.13978374456123877
65,0.13780065212174536
66,0.13714656748935836
67,0.13713319722795592
68,0.13703054233141584
69,0.13661166429007968
70,0.13629108207710214
71,0.1354364345727152
72,0.13493987906579225
73,0.13417187217889387
74,0.13308533815929358
75,0.1324851937080713
