Iteration,Rw
1,0.13670390429058463
2,0.13669007428477406
3,0.13668952479869115
4,0.1366894944985726
5,0.13668949444328543
6,0.13649231046122506
7,0.1364911106005925
8,0.13649111017873133
9,0.1364911101782982
10,0.1364787515796568
11,0.13647750578458545
12,0.1364758480496885
13,0.1364666555713645
14,0.13644726751580893
15,0.1363857876245956
16,0.13620856647818183
17,0.13548849069046442
18,0.13430256809924296
19,0.1339630415909544
20,0.13392290694415324
21,0.13389657987521544
22,0.13389441779377467
23,0.13388741585249309
24,0.13387720008704654
25,0.1338656345965464
26,0.1338632617154218
27,0.13386269178190482
28,0.1338621304467051
29,0.13386212318853263
30,0.1330224340037976
31,0.13295393476631628
32,0.13295258750030914
33,0.1329511795496276
34,0.13293540440595075
35,0.13292286033682418
36,0.1329207489311062
37,0.132916253727584
38,0.13291557532583767
39,0.1329154241860875
40,0.13291518205349448
41,0.13291450010442926
42,0.13291300968509623
43,0.13290910222073593
44,0.13290306951719116
45,0.13289614358991675
46,0.13289448857555314
47,0.13289277732105767
48,0.13289212300748707
49,0.13289203497566168
50,0.1328920212410265
51,0.1328918975744053
52,0.13289136133542237
53,0.13288994389000397
54,0.13288582361452464
55,0.13288176361024695
56,0.13287878234249198
57,0.13287472380985405
58,0.1328701857961535
59,0.13286572057413876
60,0.13286340486084605
61,0.13285864746398698
62,0.13285625113509203
63,0.13285601719339304
64,0.13285600282764537
65,0.13285600164970252
66,0.13285465080295591
67,0.13285464408830286
68,0.13285464146971557
